model,dataset,signal,mean_delta,median_delta,frac_positive,n_prompts
mixtral,gsm8k,surprisal_range,0.16292700973974492,0.1909861834386657,0.5492957746478874,71
mixtral,gsm8k,surprisal_slope,-8.310590483644354e-05,0.0002890595020737757,0.5633802816901409,71
mixtral,gsm8k,surprisal_std,0.057469346009887096,0.0725603189531524,0.6901408450704225,71
mixtral,gsm8k,surprisal_volatility,-0.16826440937660958,-0.1931789881144459,0.32857142857142857,70
mixtral,gsm8k,topk_mass_mean,-6.630801993207795e-05,9.015772572951164e-10,0.5070422535211268,71
mixtral,gsm8k,topk_mass_std,0.00034856640785836055,-0.0008476703457221766,0.43661971830985913,71
mixtral,gsm8k,warning_density_per_100t,0.08046366221838737,0.041941455513132,0.5633802816901409,71
mixtral,humaneval,attention_collapse_detected,0.0,0.0,0.0,44
mixtral,humaneval,attn_entropy_norm_mean,-0.0010516312440053991,-0.0003784156769255087,0.5,44
mixtral,humaneval,attn_entropy_norm_std,5.783449909452831e-05,-0.0002479958855799366,0.4772727272727273,44
mixtral,humaneval,collapsed_rate_mean,-7.100730783271668e-05,0.0003449593536846776,0.5454545454545454,44
mixtral,humaneval,collapsed_rate_mean_zscore,-0.02700459955876068,0.13119057030368736,0.5454545454545454,44
mixtral,humaneval,compound_density_per_100t,0.02157940131165603,-0.008808422742834512,0.4772727272727273,44
mixtral,humaneval,concentration_max_mean,8.939471815492464e-05,6.575159067484515e-05,0.5227272727272727,44
mixtral,humaneval,concentration_min_mean,-0.000909620139655449,-0.0028684171130310965,0.38636363636363635,44
mixtral,humaneval,cs_attention_bottleneck,0.0,0.0,0.0,44
mixtral,humaneval,cs_confident_confusion,0.0,0.0,0.0,44
mixtral,humaneval,cs_confident_repetition_risk,0.01790223665223664,0.0,0.1590909090909091,44
mixtral,humaneval,cs_context_loss,0.0,0.0,0.0,44
mixtral,humaneval,cs_degenerating_generation,0.0,0.0,0.0,44
mixtral,humaneval,early10_entropy_mean,-0.293723203727138,-0.23404212615880476,0.22727272727272727,44
mixtral,humaneval,early10_entropy_slope,-0.005798825608963016,-0.00731704340620647,0.45454545454545453,44
mixtral,humaneval,early10_margin_mean,0.07549943922844837,0.05322079281840053,0.7727272727272727,44
mixtral,humaneval,early10_margin_slope,0.006798138440512875,0.004898031535699513,0.6136363636363636,44
mixtral,humaneval,early10_surprisal_mean,-0.48607754851924945,-0.4263783967946996,0.06818181818181818,44
mixtral,humaneval,early10_surprisal_slope,0.08641759654486186,0.09412330135523958,0.7727272727272727,44
mixtral,humaneval,early25p_entropy_mean,-0.09268928835975906,-0.0933211938676688,0.25,44
mixtral,humaneval,early25p_entropy_slope,0.00803982117626145,0.00761399625240684,0.6590909090909091,44
mixtral,humaneval,early25p_margin_mean,0.03436963265116661,0.031947091087137,0.7954545454545454,44
mixtral,humaneval,early25p_margin_slope,-0.0026461435597971024,-0.002087490380311134,0.4090909090909091,44
mixtral,humaneval,early25p_surprisal_mean,-0.14742384190449828,-0.10915649035984087,0.11363636363636363,44
mixtral,humaneval,early25p_surprisal_slope,0.022320161558276156,0.013107067878452694,0.75,44
mixtral,humaneval,early50p_entropy_mean,-0.05706090134887472,-0.05571496779913768,0.25,44
mixtral,humaneval,early50p_entropy_slope,0.0009221321887298051,0.0013326036695061917,0.5909090909090909,44
mixtral,humaneval,early50p_margin_mean,0.023048187199682532,0.02879294437393798,0.7954545454545454,44
mixtral,humaneval,early50p_margin_slope,-0.0003181699054757884,-0.00027968218353869646,0.4318181818181818,44
mixtral,humaneval,early50p_surprisal_mean,-0.08200834040252768,-0.07274807700905372,0.1590909090909091,44
