model,signal,correlation,p_value,raw_auroc,predictive_power,direction,n
mixtral,perplexity_max,-0.1490590604167936,1.9346994935948302e-19,0.4474095328217448,0.5525904671782552,lower_more_failure,3621
mixtral,perplexity_mean,0.03082501742554828,0.06364081337577729,0.5399153150994443,0.5399153150994443,higher_more_failure,3621
mixtral,repetition_detected,-0.029436424097238945,0.07654382023522788,0.4987389659520807,0.5012610340479193,lower_more_failure,3621
mixtral,risk_score,0.07397119867845127,8.359405124127402e-06,0.518691800706531,0.518691800706531,higher_more_failure,3621
mixtral,risk_score_is_one,0.08345586543075019,4.931056157567071e-07,0.5188002712949256,0.5188002712949256,higher_more_failure,3621
mixtral,surprisal_diff_std,0.08633949970217364,1.9569383863189298e-07,0.5525764218446566,0.5525764218446566,higher_more_failure,3621
mixtral,surprisal_early_late_delta,-0.23417397576137355,2.7692411348048352e-46,0.33878240269833515,0.6612175973016649,lower_more_failure,3620
mixtral,surprisal_max,-0.0024291245547668804,0.883825316394897,0.4927871289239785,0.5072128710760215,lower_more_failure,3621
mixtral,surprisal_mean,0.099084531702375,2.3003967937779324e-09,0.5713074817969093,0.5713074817969093,higher_more_failure,3621
mixtral,surprisal_p90,0.1195509478162721,5.300597691612654e-13,0.5969642449804008,0.5969642449804008,higher_more_failure,3621
mixtral,surprisal_range,-0.0024291245547668804,0.883825316394897,0.4927871289239785,0.5072128710760215,lower_more_failure,3621
mixtral,surprisal_slope,-0.08423811428816905,3.848934165118339e-07,0.3959591067573962,0.6040408932426038,lower_more_failure,3621
