model,signal,best_outcome,best_pp,mean_other_pp,specificity_gap,pp_correct,pp_incorrect,pp_format_failure,dir_correct,dir_incorrect,dir_format_failure
mistral7b,late50p_surprisal_mean,format_failure,0.6233197499822655,0.5709575596902583,0.05236219029200717,0.5403272802362743,0.6015878391442424,0.6233197499822655,lower,lower,higher
mistral7b,margin_diff_std,format_failure,0.6191391255684908,0.5613697086565368,0.05776941691195403,0.5145676301504052,0.6081717871626684,0.6191391255684908,lower,lower,higher
mistral7b,margin_early_late_delta,format_failure,0.5800559623554634,0.5521652412768827,0.027890721078580705,0.5469010303566088,0.5574294521971568,0.5800559623554634,higher,higher,lower
mistral7b,margin_mean,format_failure,0.6288727920486163,0.5743350327769567,0.0545377592716596,0.5427622610672762,0.6059078044866373,0.6288727920486163,higher,higher,lower
mistral7b,margin_min,format_failure,0.6214209709074572,0.5723610568146438,0.049059914092813406,0.5481833727589321,0.5965387408703554,0.6214209709074572,higher,higher,lower
mistral7b,margin_range,format_failure,0.6214209709074572,0.5723610568146438,0.049059914092813406,0.5481833727589321,0.5965387408703554,0.6214209709074572,lower,lower,higher
mistral7b,margin_slope,format_failure,0.630631744054985,0.5741882503205765,0.05644349373440849,0.5394017156198123,0.6089747850213407,0.630631744054985,higher,higher,lower
mistral7b,margin_std,format_failure,0.6104783599088838,0.5658757118462792,0.04460264806260461,0.5439630332652112,0.5877883904273471,0.6104783599088838,lower,lower,higher
mistral7b,max_compound_severity,format_failure,0.5112854789510606,0.5086429107494915,0.002642568201569051,0.5109899315912583,0.5062958899077248,0.5112854789510606,lower,lower,higher
mistral7b,n_compound_signals,format_failure,0.5112854789510606,0.5086429107494915,0.002642568201569051,0.5109899315912583,0.5062958899077248,0.5112854789510606,lower,lower,higher
mistral7b,n_warning_signals,format_failure,0.567014211285479,0.5452377478713368,0.02177646341414219,0.5445946511991923,0.5458808445434815,0.567014211285479,higher,higher,lower
mistral7b,perplexity_max,incorrect,0.6165780388242517,0.5834954546772856,0.033082584146966076,0.5793894874378211,0.6165780388242517,0.58760142191675,lower,higher,lower
mistral7b,perplexity_mean,correct,0.5583855272411413,0.5225840053534575,0.03580152188768382,0.5583855272411413,0.5098447295788401,0.5353232811280749,lower,lower,higher
mistral7b,risk_score,format_failure,0.5113056569271149,0.5087110008325402,0.0025946560945747654,0.5111883456019329,0.5062336560631474,0.5113056569271149,lower,lower,higher
mistral7b,risk_score_is_one,format_failure,0.5112854789510606,0.5086429107494915,0.002642568201569051,0.5109899315912583,0.5062958899077248,0.5112854789510606,lower,lower,higher
mistral7b,surprisal_diff_std,correct,0.5314556019256447,0.5216634793582114,0.009792122567433226,0.5314556019256447,0.5145974618258806,0.5287294968905423,lower,lower,higher
mistral7b,surprisal_early_late_delta,format_failure,0.5873301227230808,0.5570011989876523,0.030328923735428504,0.551488803203431,0.5625135947718737,0.5873301227230808,lower,lower,higher
mistral7b,surprisal_max,correct,0.5566982732837005,0.5119158485300437,0.04478242475365679,0.5566982732837005,0.5113194602210933,0.5125122368389939,lower,higher,higher
mistral7b,surprisal_mean,format_failure,0.5727433377209922,0.5450366978052842,0.027706639915707987,0.5345898084275984,0.55548358718297,0.5727433377209922,lower,lower,higher
mistral7b,surprisal_p90,format_failure,0.6035383972696675,0.5595981149278562,0.043940282341811354,0.5339354096257249,0.5852608202299873,0.6035383972696675,lower,lower,higher
mistral7b,surprisal_range,correct,0.5566982732837005,0.5119158485300437,0.04478242475365679,0.5566982732837005,0.5113194602210933,0.5125122368389939,lower,higher,higher
mistral7b,surprisal_slope,format_failure,0.6373547934516163,0.5778173982432,0.05953739520841628,0.5407876742277102,0.6148471222586898,0.6373547934516163,lower,lower,higher
mistral7b,surprisal_std,correct,0.5300983031192887,0.5064016257650684,0.02369667735422032,0.5300983031192887,0.5025192622812148,0.510283989248922,lower,higher,higher
mistral7b,surprisal_volatility,format_failure,0.615632591976162,0.565602000487861,0.050030591488301024,0.5328947316616074,0.5983092693141145,0.615632591976162,higher,higher,lower
mistral7b,topk_mass_mean,incorrect,0.7170811662259946,0.6373999048111472,0.07968126141484744,0.5845085689132276,0.7170811662259946,0.6902912407090668,higher,lower,higher
mistral7b,topk_mass_std,incorrect,0.7026007704912486,0.6320610536883197,0.07053971680292892,0.5922746402643757,0.7026007704912486,0.6718474671122636,lower,higher,lower
mistral7b,warning_density_per_100t,format_failure,0.6823341819643575,0.6122712512376278,0.07006293072672964,0.5846118176854491,0.6399306847898066,0.6823341819643575,higher,higher,lower
mixtral,attention_collapse_detected,correct,0.5003313452617628,0.5001013488115736,0.0002299964501891738,0.5003313452617628,0.5000103818569112,0.5001923157662361,lower,higher,higher
mixtral,attn_entropy_norm_mean,incorrect,0.861051975239882,0.7349900061368567,0.12606196910302525,0.6809277227003429,0.861051975239882,0.7890522895733706,higher,lower,higher
mixtral,attn_entropy_norm_std,incorrect,0.8820196620155948,0.7510918382566264,0.1309278237589684,0.7041934439872394,0.8820196620155948,0.7979902325260134,lower,higher,lower
