model,outcome,signal,raw_auroc,predictive_power,direction,n_total,n_outcome
mistral7b,correct,compound_density_per_100t,0.5530955892565427,0.5530955892565427,higher,3640,423
mistral7b,correct,concentration_max_mean,0.6024922269474151,0.6024922269474151,higher,3640,423
mistral7b,correct,concentration_min_mean,0.5665565101474069,0.5665565101474069,higher,3640,423
mistral7b,correct,cs_confident_repetition_risk,0.4890100684087417,0.5109899315912583,lower,3640,423
mistral7b,correct,early10_entropy_mean,0.4788836051972713,0.5211163948027286,lower,3640,423
mistral7b,correct,early10_entropy_slope,0.5867811442021589,0.5867811442021589,higher,3640,423
mistral7b,correct,early10_margin_mean,0.5334812620012919,0.5334812620012919,higher,3640,423
mistral7b,correct,early10_margin_slope,0.4070114367305486,0.5929885632694514,lower,3640,423
mistral7b,correct,early10_surprisal_mean,0.5197127993938819,0.5197127993938819,higher,3640,423
mistral7b,correct,early10_surprisal_slope,0.5518007541202139,0.5518007541202139,higher,3640,423
mistral7b,correct,early25p_entropy_mean,0.5285043772335355,0.5285043772335355,higher,3640,423
mistral7b,correct,early25p_entropy_slope,0.4878655135138313,0.5121344864861688,lower,3640,423
mistral7b,correct,early25p_margin_mean,0.4681365470524129,0.5318634529475871,lower,3640,423
mistral7b,correct,early25p_margin_slope,0.4916897598529091,0.5083102401470909,lower,3640,423
mistral7b,correct,early25p_surprisal_mean,0.5472912445776024,0.5472912445776024,higher,3640,423
mistral7b,correct,early25p_surprisal_slope,0.4667101707756739,0.5332898292243261,lower,3640,423
mistral7b,correct,early50p_entropy_mean,0.4668600835837392,0.5331399164162608,lower,3640,423
mistral7b,correct,early50p_entropy_slope,0.39892974012908666,0.6010702598709133,lower,3640,423
mistral7b,correct,early50p_margin_mean,0.5295677293574106,0.5295677293574106,higher,3640,423
mistral7b,correct,early50p_margin_slope,0.5938112465470451,0.5938112465470451,higher,3640,423
mistral7b,correct,early50p_surprisal_mean,0.48395381803671544,0.5160461819632846,lower,3640,423
mistral7b,correct,early50p_surprisal_slope,0.3926209094563382,0.6073790905436618,lower,3640,423
mistral7b,correct,entropy_diff_std,0.47167272564265933,0.5283272743573406,lower,3640,423
mistral7b,correct,entropy_early_late_delta,0.45157632582813967,0.5484236741718603,lower,3640,423
mistral7b,correct,entropy_max,0.42061051256217885,0.5793894874378211,lower,3640,423
mistral7b,correct,entropy_mean,0.45223182693007224,0.5477681730699278,lower,3640,423
mistral7b,correct,entropy_p90,0.4625262071839099,0.5374737928160901,lower,3640,423
mistral7b,correct,entropy_range,0.42061051256217885,0.5793894874378211,lower,3640,423
mistral7b,correct,entropy_range_approx,0.42621313633026675,0.5737868636697332,lower,3640,423
mistral7b,correct,entropy_slope,0.45540351163404225,0.5445964883659578,lower,3640,423
mistral7b,correct,entropy_std,0.4405863942368813,0.5594136057631187,lower,3640,423
mistral7b,correct,failure_risk,0.49869524416313743,0.5013047558368626,lower,3640,423
mistral7b,correct,focused_head_mean,0.6033667183277961,0.6033667183277961,higher,3640,423
mistral7b,correct,focused_head_mean_zscore,0.6033667183277961,0.6033667183277961,higher,3640,423
mistral7b,correct,focused_head_rate,0.6033667183277961,0.6033667183277961,higher,3640,423
mistral7b,correct,hidden_max_abs_last_layer_mean,0.42569872963592503,0.574301270364075,lower,3640,423
mistral7b,correct,hidden_max_abs_last_layer_mean_zscore,0.42569872963592503,0.574301270364075,lower,3640,423
mistral7b,correct,hidden_std_last_layer_mean,0.46468340839996736,0.5353165916000326,lower,3640,423
mistral7b,correct,hidden_std_last_layer_mean_zscore,0.46468340839996736,0.5353165916000326,lower,3640,423
mistral7b,correct,high_entropy_frac,0.4864406069705047,0.5135593930294953,lower,3640,423
mistral7b,correct,high_entropy_steps,0.4858472021052461,0.5141527978947539,lower,3640,423
mistral7b,correct,l2_norm_cross_layer_max,0.40782750620778646,0.5921724937922135,lower,3640,423
