model,dataset,signal,predictive_power_in_confident,confident_correct_mean,confident_wrong_mean,delta,n_confident_correct,n_confident_wrong
mixtral,gsm8k,focused_head_mean_zscore,0.5934065934065933,-0.6750510274415142,-0.7338480473731956,-0.058797019931681405,126,26
mixtral,gsm8k,focused_head_rate,0.5934065934065933,0.10402877671520021,0.10313889154052715,-0.0008898851746730607,126,26
mixtral,gsm8k,hidden_max_abs_last_layer_mean,0.5769230769230769,125.00628028417113,122.22137853157,-2.7849017526011295,126,26
mixtral,gsm8k,hidden_max_abs_last_layer_mean_zscore,0.5769230769230769,-0.8617589143605388,-1.0564584607362446,-0.19469954637570586,126,26
mixtral,gsm8k,hidden_std_last_layer_mean,0.5998168498168498,4.406448925068321,4.4943124951863656,0.0878635701180448,126,26
mixtral,gsm8k,hidden_std_last_layer_mean_zscore,0.5998168498168498,0.21564097690021103,0.7003824622677622,0.48474148536755124,126,26
mixtral,gsm8k,l2_norm_cross_layer_max,0.5451770451770451,725.7019629100013,721.3784977839543,-4.323465126046926,126,26
mixtral,gsm8k,l2_norm_cross_layer_max_zscore,0.5451770451770451,-0.042718718224711044,-0.17394918378099836,-0.1312304655562873,126,26
mixtral,gsm8k,l2_norm_last_layer_mean,0.5992063492063492,281.9905717477735,287.614672077898,5.624100330124463,126,26
mixtral,gsm8k,l2_norm_last_layer_mean_zscore,0.5992063492063492,0.21592098950531902,0.7007837767411016,0.4848627872357826,126,26
mixtral,gsm8k,l2_norm_slope,0.539072039072039,0.01181899973003703,0.0076460191467299975,-0.004172980583307032,126,26
mixtral,gsm8k,late50p_entropy_mean,0.6652930402930403,0.08137732902863948,0.10430661562228848,0.022929286593648998,126,26
mixtral,gsm8k,late50p_margin_mean,0.6494200244200244,0.9577525378157434,0.9467493862729034,-0.01100315154284004,126,26
mixtral,gsm8k,late50p_surprisal_mean,0.6585775335775336,0.07636088483447127,0.10760033399847778,0.031239449164006505,126,26
mixtral,gsm8k,margin_diff_std,0.6114163614163615,0.2628230773122478,0.271819901808692,0.008996824496444178,126,26
mixtral,gsm8k,margin_early_late_delta,0.6175213675213675,0.10063670559947277,0.08067595627789426,-0.019960749321578514,126,26
mixtral,gsm8k,margin_min,0.516025641025641,0.02602964811145313,0.023488155351235315,-0.002541492760217815,126,26
mixtral,gsm8k,margin_range,0.516025641025641,0.9739703518885469,0.9765118446487647,0.002541492760217867,126,26
mixtral,gsm8k,margin_slope,0.5757020757020757,0.0005597383074128396,0.000437462901434729,-0.0001222754059781106,126,26
mixtral,gsm8k,margin_std,0.5879120879120879,0.2007731165825835,0.20518531193807357,0.004412195355490062,126,26
mixtral,gsm8k,max_compound_severity,0.5073260073260073,0.3904761904761904,0.3846153846153847,-0.005860805860805729,126,26
mixtral,gsm8k,n_compound_signals,0.5073260073260073,0.9761904761904762,0.9615384615384616,-0.0146520146520146,126,26
mixtral,gsm8k,n_warning_signals,0.5293040293040293,1.5952380952380953,1.6538461538461537,0.0586080586080584,126,26
mixtral,gsm8k,perplexity_max,0.5245726495726496,7.74992425889347,8.011392762868836,0.26146850397536525,126,26
mixtral,gsm8k,perplexity_mean,0.5982905982905983,1.1861069876989279,1.197534784407552,0.011427796708624038,126,26
mixtral,gsm8k,risk_score,0.5074786324786325,0.9930203397620573,0.9884615384615384,-0.004558801300518889,126,26
mixtral,gsm8k,risk_score_is_one,0.5073260073260073,0.9761904761904762,0.9615384615384616,-0.0146520146520146,126,26
mixtral,gsm8k,surprisal_diff_std,0.5894383394383395,0.7284236252374681,0.7822523782383075,0.05382875300083945,126,26
mixtral,gsm8k,surprisal_early_late_delta,0.5592185592185592,-0.24408694119561325,-0.21079306646805593,0.03329387472755732,126,26
mixtral,gsm8k,surprisal_max,0.5079365079365079,4.504141401006052,4.558154715417093,0.054013314411040625,126,26
mixtral,gsm8k,surprisal_mean,0.6489621489621489,0.14528227040162864,0.16254224121467403,0.017259970813045394,126,26
mixtral,gsm8k,surprisal_p90,0.61492673992674,0.25693065367744594,0.2892726927810912,0.03234203910364525,126,26
mixtral,gsm8k,surprisal_range,0.5079365079365079,4.504141401006052,4.558154715417093,0.054013314411040625,126,26
mixtral,gsm8k,surprisal_slope,0.5528083028083028,-0.0013966162531192673,-0.001180761542317723,0.00021585471080154428,126,26
mixtral,gsm8k,surprisal_std,0.5778388278388278,0.5476474909401552,0.5818012275559921,0.03415373661583687,126,26
mixtral,gsm8k,surprisal_volatility,0.6933479532163742,3.767451834823138,3.531598506916722,-0.2358533279064159,114,24
mixtral,gsm8k,topk_mass_mean,0.5402930402930403,0.9997540760098452,0.9997765396463225,2.2463636477287885e-05,126,26
mixtral,gsm8k,topk_mass_std,0.5644078144078144,0.0029735603180151616,0.0033142139301672166,0.00034065361215205496,126,26
mixtral,gsm8k,warning_density_per_100t,0.5021367521367521,0.7162387667616398,0.702950003422851,-0.013288763338788812,126,26
qwen,gsm8k,attn_entropy_norm_mean,0.5146997786386276,0.47929699954683375,0.4798493441726003,0.0005523446257665321,104,278
qwen,gsm8k,attn_entropy_norm_std,0.5524695628112893,0.11212822719778645,0.11063049212287836,-0.0014977350749080937,104,278
qwen,gsm8k,collapsed_rate_mean,0.5794825677919203,0.01636095332220252,0.01610699390495766,-0.00025395941724485824,104,278
qwen,gsm8k,collapsed_rate_mean_zscore,0.5794825677919203,-0.5569896724497126,-0.6839168565415326,-0.1269271840918199,104,278
qwen,gsm8k,compound_density_per_100t,0.5711123408965135,0.23336500345347305,0.20477591824640123,-0.028589085207071818,104,278
qwen,gsm8k,concentration_max_mean,0.5342072495849475,0.8867537346676511,0.8861321219496171,-0.0006216127180339592,104,278
qwen,gsm8k,concentration_min_mean,0.5216519092418374,0.1024771106942969,0.10001668016994433,-0.002460430524352561,104,278
qwen,gsm8k,cs_confident_repetition_risk,0.5125899280575539,1.0,0.9748201438848921,-0.025179856115107868,104,278
qwen,gsm8k,early10_entropy_mean,0.5400179856115107,0.48321593445662725,0.45201840608294575,-0.031197528373681505,104,278
qwen,gsm8k,early10_entropy_slope,0.503458771444383,0.00750903115620724,0.005858443151017765,-0.0016505880051894753,104,278
qwen,gsm8k,early10_margin_mean,0.5384615384615384,0.7607916842572965,0.7754023299478797,0.014610645690583235,104,278
qwen,gsm8k,early10_margin_slope,0.5079897620365246,-0.00022937727696967865,-0.0008913596899961112,-0.0006619824130264326,104,278
qwen,gsm8k,early10_surprisal_mean,0.5047903984504704,0.434855824348547,0.428572223145954,-0.0062836012025930255,104,278
qwen,gsm8k,early10_surprisal_slope,0.5029226618705035,0.0064954085090037405,0.004697659403318222,-0.001797749105685518,104,278
qwen,gsm8k,early25p_entropy_mean,0.5025940785832873,0.3170941532624521,0.316560496148905,-0.0005336571135470813,104,278
qwen,gsm8k,early25p_entropy_slope,0.5475926950747094,-0.002616195898954043,-0.00204854714976312,0.0005676487491909233,104,278
qwen,gsm8k,early25p_margin_mean,0.502040675152186,0.8410015449321685,0.8417929593886826,0.0007914144565140946,104,278
qwen,gsm8k,early25p_margin_slope,0.5363516878804648,0.0012778883109199274,0.0010065222860756264,-0.000271366024844301,104,278
qwen,gsm8k,early25p_surprisal_mean,0.5051189817376868,0.3134691523827987,0.3121873669794539,-0.0012817854033448373,104,278
qwen,gsm8k,early25p_surprisal_slope,0.5356253458771445,-0.00227071822344895,-0.00185411388857396,0.00041660433487499004,104,278
qwen,gsm8k,early50p_entropy_mean,0.5739831211953514,0.23550009901969554,0.25523392827434704,0.019733829254651503,104,278
qwen,gsm8k,early50p_entropy_slope,0.6166297731045933,-0.001598117466547186,-0.0011573116457142584,0.0004408058208329275,104,278
qwen,gsm8k,early50p_margin_mean,0.5704897620365246,0.8820636318015614,0.8735626307766615,-0.008501001024899923,104,278
qwen,gsm8k,early50p_margin_slope,0.6145199225235196,0.0008037726752726336,0.0005907170028559163,-0.00021305567241671733,104,278
qwen,gsm8k,early50p_surprisal_mean,0.5638489208633093,0.23224056036285853,0.2518859722849987,0.01964541192214017,104,278
qwen,gsm8k,early50p_surprisal_slope,0.6068760376314333,-0.001522841005836944,-0.0011268700945330585,0.0003959709113038855,104,278
qwen,gsm8k,entropy_diff_std,0.5885099612617598,0.47020079441990714,0.4929718253931722,0.02277103097326505,104,278
qwen,gsm8k,entropy_early_late_delta,0.5125207526286664,-0.2653375853644293,-0.2731335829249037,-0.007795997560474388,104,278
qwen,gsm8k,entropy_max,0.5645925567238517,2.5009357380140633,2.583399982471832,0.08246424445776857,104,278
qwen,gsm8k,entropy_mean,0.5703514111787493,0.14651181520279316,0.15567141533323017,0.009159600130437012,104,278
qwen,gsm8k,entropy_p90,0.56087437742114,0.6285636626183485,0.6694963160156107,0.04093265339726215,104,278
qwen,gsm8k,entropy_range,0.5645925567238517,2.5009357380140633,2.583399982471832,0.08246424445776857,104,278
qwen,gsm8k,entropy_range_approx,0.5605285002767018,2.35442392281127,2.427728567138602,0.07330464432733175,104,278
qwen,gsm8k,entropy_slope,0.5198187603763144,-0.0007364152230953324,-0.0007627945535918695,-2.6379330496537133e-05,104,278
qwen,gsm8k,entropy_std,0.5913807415605977,0.39137708417855077,0.4118479898059605,0.02047090562740972,104,278
qwen,gsm8k,failure_risk,0.5029572495849475,0.07403846153846154,0.07625899280575539,0.0022205312672938515,104,278
qwen,gsm8k,failure_risk_is_zero,0.5034241837299391,0.8557692307692307,0.8489208633093526,-0.006848367459878157,104,278
qwen,gsm8k,focused_head_mean,0.5748132263420033,1.3413426904812444,1.308210336915817,-0.03313235356542754,104,278
qwen,gsm8k,focused_head_mean_zscore,0.5748132263420033,-0.5782308328595717,-0.6687919893670803,-0.09056115650750862,104,278
qwen,gsm8k,focused_head_rate,0.5748132263420033,0.047905096088615866,0.04672179774699345,-0.0011832983416224171,104,278
qwen,gsm8k,hidden_max_abs_last_layer_mean,0.5244881018262313,121.77641358147297,123.24541772692936,1.4690041454563953,104,278
qwen,gsm8k,hidden_max_abs_last_layer_mean_zscore,0.5244881018262313,-1.1697058983348667,-1.079195979473006,0.09050991886186077,104,278
