model,dataset,signal,direction,random_acc,signal_acc,oracle_acc,lift_vs_random,lift_vs_oracle,n_prompts,n_ties,tie_rate
llama,gsm8k,early10_surprisal_slope,higher_better,0.8083561871519985,0.8586387434554974,1.0,0.05028255630349887,-0.1413612565445026,191,1,0.005235602094240838
llama,gsm8k,early25p_entropy_mean,lower_better,0.8083561871519985,0.837696335078534,1.0,0.029340147926535498,-0.16230366492146597,191,0,0.0
llama,gsm8k,early25p_entropy_slope,lower_better,0.8083561871519985,0.7958115183246073,1.0,-0.012544668827391248,-0.20418848167539272,191,0,0.0
llama,gsm8k,early25p_margin_mean,higher_better,0.8083561871519985,0.8324607329842932,1.0,0.02410454583229471,-0.16753926701570676,191,0,0.0
llama,gsm8k,early25p_margin_slope,higher_better,0.8083561871519985,0.8115183246073299,1.0,0.0031621374553313375,-0.18848167539267013,191,0,0.0
llama,gsm8k,early25p_surprisal_mean,lower_better,0.8083561871519985,0.837696335078534,1.0,0.029340147926535498,-0.16230366492146597,191,0,0.0
llama,gsm8k,early25p_surprisal_slope,lower_better,0.8083561871519985,0.7591623036649214,1.0,-0.049193883487077095,-0.24083769633507857,191,0,0.0
llama,gsm8k,early50p_entropy_mean,lower_better,0.8083561871519985,0.8638743455497382,1.0,0.05551815839773966,-0.1361256544502618,191,0,0.0
llama,gsm8k,early50p_entropy_slope,lower_better,0.8083561871519985,0.8010471204188482,1.0,-0.007309066733150349,-0.19895287958115182,191,0,0.0
llama,gsm8k,early50p_margin_mean,higher_better,0.8083561871519985,0.8586387434554974,1.0,0.05028255630349887,-0.1413612565445026,191,0,0.0
llama,gsm8k,early50p_margin_slope,higher_better,0.8083561871519985,0.8167539267015707,1.0,0.008397739549572125,-0.18324607329842935,191,0,0.0
llama,gsm8k,early50p_surprisal_mean,lower_better,0.8083561871519985,0.8743455497382199,1.0,0.06598936258622135,-0.12565445026178013,191,0,0.0
llama,gsm8k,early50p_surprisal_slope,higher_better,0.8083561871519985,0.774869109947644,1.0,-0.03348707720435451,-0.22513089005235598,191,0,0.0
llama,gsm8k,entropy_diff_std,lower_better,0.8083561871519985,0.8638743455497382,1.0,0.05551815839773966,-0.1361256544502618,191,0,0.0
llama,gsm8k,entropy_early_late_delta,higher_better,0.8083561871519985,0.7853403141361257,1.0,-0.023015873015872823,-0.2146596858638743,191,0,0.0
llama,gsm8k,entropy_max,lower_better,0.8083561871519985,0.8726003490401396,1.0,0.06424416188814108,-0.1273996509598604,191,8,0.041884816753926704
llama,gsm8k,entropy_mean,lower_better,0.8083561871519985,0.8429319371727748,1.0,0.034575750020776286,-0.15706806282722519,191,0,0.0
llama,gsm8k,entropy_p90,lower_better,0.8083561871519985,0.8586387434554974,1.0,0.05028255630349887,-0.1413612565445026,191,15,0.07853403141361257
llama,gsm8k,entropy_range,lower_better,0.8083561871519985,0.8726003490401396,1.0,0.06424416188814108,-0.1273996509598604,191,8,0.041884816753926704
llama,gsm8k,entropy_range_approx,lower_better,0.8083561871519985,0.8743455497382199,1.0,0.06598936258622135,-0.12565445026178013,191,0,0.0
llama,gsm8k,entropy_slope,lower_better,0.8083561871519985,0.8167539267015707,1.0,0.008397739549572125,-0.18324607329842935,191,0,0.0
llama,gsm8k,entropy_std,lower_better,0.8083561871519985,0.8586387434554974,1.0,0.05028255630349887,-0.1413612565445026,191,0,0.0
llama,gsm8k,failure_risk,lower_better,0.8083561871519985,0.8156756419845429,1.0,0.00731945483254437,-0.1843243580154571,191,189,0.9895287958115183
llama,gsm8k,failure_risk_is_zero,higher_better,0.8083561871519985,0.8156756419845429,1.0,0.00731945483254437,-0.1843243580154571,191,189,0.9895287958115183
llama,gsm8k,focused_head_mean,higher_better,0.8083561871519985,0.8219895287958116,1.0,0.013633341643813024,-0.17801047120418845,191,0,0.0
llama,gsm8k,focused_head_mean_zscore,higher_better,0.8083561871519985,0.8219895287958116,1.0,0.013633341643813024,-0.17801047120418845,191,0,0.0
llama,gsm8k,focused_head_rate,higher_better,0.8083561871519985,0.8219895287958116,1.0,0.013633341643813024,-0.17801047120418845,191,0,0.0
llama,gsm8k,hidden_max_abs_last_layer_mean,lower_better,0.8083561871519985,0.837696335078534,1.0,0.029340147926535498,-0.16230366492146597,191,0,0.0
llama,gsm8k,hidden_max_abs_last_layer_mean_zscore,lower_better,0.8083561871519985,0.837696335078534,1.0,0.029340147926535498,-0.16230366492146597,191,0,0.0
llama,gsm8k,hidden_std_last_layer_mean,higher_better,0.8083561871519985,0.8167539267015707,1.0,0.008397739549572125,-0.18324607329842935,191,0,0.0
llama,gsm8k,hidden_std_last_layer_mean_zscore,higher_better,0.8083561871519985,0.8167539267015707,1.0,0.008397739549572125,-0.18324607329842935,191,0,0.0
llama,gsm8k,high_entropy_frac,lower_better,0.8083561871519985,0.8407421258206602,1.0,0.032385938668661685,-0.1592578741793398,191,185,0.9685863874345549
llama,gsm8k,high_entropy_steps,lower_better,0.8083561871519985,0.8407421258206602,1.0,0.032385938668661685,-0.1592578741793398,191,185,0.9685863874345549
llama,gsm8k,l2_norm_cross_layer_max,higher_better,0.8083561871519985,0.8324607329842932,1.0,0.02410454583229471,-0.16753926701570676,191,0,0.0
llama,gsm8k,l2_norm_cross_layer_max_zscore,higher_better,0.8083561871519985,0.8324607329842932,1.0,0.02410454583229471,-0.16753926701570676,191,0,0.0
llama,gsm8k,l2_norm_last_layer_mean,higher_better,0.8083561871519985,0.8167539267015707,1.0,0.008397739549572125,-0.18324607329842935,191,0,0.0
llama,gsm8k,l2_norm_last_layer_mean_zscore,higher_better,0.8083561871519985,0.8167539267015707,1.0,0.008397739549572125,-0.18324607329842935,191,0,0.0
llama,gsm8k,l2_norm_slope,lower_better,0.8083561871519985,0.8272251308900523,1.0,0.01886894373805381,-0.17277486910994766,191,0,0.0
llama,gsm8k,late50p_entropy_mean,lower_better,0.8083561871519985,0.8220643231114436,1.0,0.013708135959445089,-0.17793567688855638,191,73,0.38219895287958117
llama,gsm8k,late50p_margin_mean,higher_better,0.8083561871519985,0.8168287210172028,1.0,0.008472533865204301,-0.18317127898279717,191,73,0.38219895287958117
llama,gsm8k,late50p_surprisal_mean,lower_better,0.8083561871519985,0.8220643231114436,1.0,0.013708135959445089,-0.17793567688855638,191,73,0.38219895287958117
