model,dataset,signal,mean_temp_0.7,mean_temp_0.8,temp_delta
mixtral,gsm8k,early50p_margin_slope,0.0017445850004495268,0.001615244232251291,-0.00012934076819823585
mixtral,gsm8k,early50p_surprisal_mean,0.3383056437242128,0.3921131872388743,0.05380754351466149
mixtral,gsm8k,early50p_surprisal_slope,-0.005402092343502242,-0.004500782893442394,0.0009013094500598482
mixtral,gsm8k,entropy_diff_std,0.6739863488524175,0.7478439169507793,0.07385756809836186
mixtral,gsm8k,entropy_early_late_delta,-0.2620335387483645,-0.3067547735164203,-0.044721234768055784
mixtral,gsm8k,entropy_max,3.01720397627449,3.226542607248683,0.20933863097419314
mixtral,gsm8k,entropy_mean,0.25138705433669156,0.3051319990639765,0.053744944727284916
mixtral,gsm8k,entropy_min,0.0,0.0,0.0
mixtral,gsm8k,entropy_p90,0.9559726795712056,1.136154511057555,0.18018183148634948
mixtral,gsm8k,entropy_range,3.01720397627449,3.226542607248683,0.20933863097419314
mixtral,gsm8k,entropy_range_approx,2.7658169219377986,2.921410608184706,0.1555936862469074
mixtral,gsm8k,entropy_slope,-0.001848582063136051,-0.002053171338389566,-0.0002045892752535149
mixtral,gsm8k,entropy_std,0.5315783697872266,0.5892732901984996,0.057694920411273
mixtral,gsm8k,failure_risk,0.6005333333333333,0.5999999999999999,-0.0005333333333333856
mixtral,gsm8k,failure_risk_is_one,0.0,0.0,0.0
mixtral,gsm8k,failure_risk_is_zero,0.0,0.0,0.0
mixtral,gsm8k,focused_head_mean,3.325837963904921,3.3002755701760753,-0.025562393728845834
mixtral,gsm8k,focused_head_mean_zscore,-0.6814164836137175,-0.7341969088427597,-0.05278042522904214
mixtral,gsm8k,focused_head_rate,0.10393243637202879,0.10313361156800235,-0.0007988248040264323
mixtral,gsm8k,hidden_max_abs_last_layer_mean,129.68918132391352,130.32277818999816,0.6335968660846447
mixtral,gsm8k,hidden_max_abs_last_layer_mean_zscore,-0.5343654228994575,-0.49006905865733474,0.0442963642421228
mixtral,gsm8k,hidden_std_last_layer_mean,4.3863029575143795,4.351357144311099,-0.034945813203280274
mixtral,humaneval,attention_collapse_detected,0.0,0.0,0.0
mixtral,humaneval,attn_entropy_norm_mean,0.36979891604908977,0.3671691278311409,-0.0026297882179488474
