model,dataset,question_id,signal,n_runs,std_across_runs,range_across_runs
llama,humaneval,he_0061,prompt_surprisal_mean,10,2.340555645717801e-16,0.0
llama,humaneval,he_0062,prompt_surprisal_mean,10,4.681111291435602e-16,0.0
llama,humaneval,he_0063,prompt_surprisal_mean,10,0.0,0.0
llama,humaneval,he_0064,prompt_surprisal_mean,10,0.0,0.0
llama,humaneval,he_0065,prompt_surprisal_mean,10,0.0,0.0
llama,humaneval,he_0066,prompt_surprisal_mean,10,0.0,0.0
llama,humaneval,he_0067,prompt_surprisal_mean,10,4.681111291435602e-16,0.0
llama,humaneval,he_0068,prompt_surprisal_mean,10,0.0,0.0
llama,humaneval,he_0069,prompt_surprisal_mean,10,0.0,0.0
llama,humaneval,he_0070,prompt_surprisal_mean,10,0.0,0.0
llama,humaneval,he_0071,prompt_surprisal_mean,10,2.340555645717801e-16,0.0
llama,humaneval,he_0072,prompt_surprisal_mean,10,0.0,0.0
llama,humaneval,he_0073,prompt_surprisal_mean,10,0.0,0.0
llama,humaneval,he_0074,prompt_surprisal_mean,10,0.0,0.0
llama,humaneval,he_0075,prompt_surprisal_mean,10,4.681111291435602e-16,0.0
llama,humaneval,he_0076,prompt_surprisal_mean,10,2.340555645717801e-16,0.0
llama,humaneval,he_0077,prompt_surprisal_mean,10,4.681111291435602e-16,0.0
llama,humaneval,he_0078,prompt_surprisal_mean,10,4.681111291435602e-16,0.0
llama,humaneval,he_0079,prompt_surprisal_mean,10,4.681111291435602e-16,0.0
llama,humaneval,he_0080,prompt_surprisal_mean,10,0.0,0.0
llama,humaneval,he_0081,prompt_surprisal_mean,10,4.681111291435602e-16,0.0
llama,humaneval,he_0082,prompt_surprisal_mean,10,4.681111291435602e-16,0.0
llama,humaneval,he_0083,prompt_surprisal_mean,10,9.362222582871203e-16,0.0
llama,humaneval,he_0084,prompt_surprisal_mean,10,4.681111291435602e-16,0.0
llama,humaneval,he_0085,prompt_surprisal_mean,10,0.0,0.0
llama,humaneval,he_0086,prompt_surprisal_mean,10,0.0,0.0
llama,humaneval,he_0087,prompt_surprisal_mean,10,4.681111291435602e-16,0.0
llama,humaneval,he_0088,prompt_surprisal_mean,10,0.0,0.0
llama,humaneval,he_0089,prompt_surprisal_mean,10,4.681111291435602e-16,0.0
llama,humaneval,he_0090,prompt_surprisal_mean,10,2.340555645717801e-16,0.0
llama,humaneval,he_0091,prompt_surprisal_mean,10,4.681111291435602e-16,0.0
llama,humaneval,he_0092,prompt_surprisal_mean,10,4.681111291435602e-16,0.0
llama,humaneval,he_0093,prompt_surprisal_mean,10,4.681111291435602e-16,0.0
llama,humaneval,he_0094,prompt_surprisal_mean,10,4.681111291435602e-16,0.0
llama,humaneval,he_0095,prompt_surprisal_mean,10,0.0,0.0
llama,humaneval,he_0096,prompt_surprisal_mean,10,2.340555645717801e-16,0.0
llama,humaneval,he_0097,prompt_surprisal_mean,10,0.0,0.0
llama,humaneval,he_0098,prompt_surprisal_mean,10,0.0,0.0
llama,humaneval,he_0099,prompt_surprisal_mean,10,4.681111291435602e-16,0.0
llama,humaneval,he_0100,prompt_surprisal_mean,10,4.681111291435602e-16,0.0
llama,humaneval,he_0101,prompt_surprisal_mean,10,2.340555645717801e-16,0.0
llama,humaneval,he_0102,prompt_surprisal_mean,10,4.681111291435602e-16,0.0
llama,humaneval,he_0103,prompt_surprisal_mean,10,0.0,0.0
llama,humaneval,he_0104,prompt_surprisal_mean,10,4.681111291435602e-16,0.0
llama,humaneval,he_0105,prompt_surprisal_mean,10,0.0,0.0
llama,humaneval,he_0106,prompt_surprisal_mean,10,4.681111291435602e-16,0.0
llama,humaneval,he_0107,prompt_surprisal_mean,10,0.0,0.0
llama,humaneval,he_0108,prompt_surprisal_mean,10,0.0,0.0
llama,humaneval,he_0109,prompt_surprisal_mean,10,0.0,0.0
llama,humaneval,he_0110,prompt_surprisal_mean,10,0.0,0.0
llama,humaneval,he_0111,prompt_surprisal_mean,10,0.0,0.0
llama,humaneval,he_0112,prompt_surprisal_mean,10,0.0,0.0
llama,humaneval,he_0113,prompt_surprisal_mean,10,4.681111291435602e-16,0.0
llama,humaneval,he_0114,prompt_surprisal_mean,10,0.0,0.0
llama,humaneval,he_0115,prompt_surprisal_mean,10,2.340555645717801e-16,0.0
llama,humaneval,he_0116,prompt_surprisal_mean,10,2.340555645717801e-16,0.0
llama,humaneval,he_0117,prompt_surprisal_mean,10,0.0,0.0
llama,humaneval,he_0118,prompt_surprisal_mean,10,0.0,0.0
llama,humaneval,he_0119,prompt_surprisal_mean,10,0.0,0.0
llama,humaneval,he_0120,prompt_surprisal_mean,10,2.340555645717801e-16,0.0
llama,humaneval,he_0121,prompt_surprisal_mean,10,0.0,0.0
llama,humaneval,he_0122,prompt_surprisal_mean,10,0.0,0.0
llama,humaneval,he_0123,prompt_surprisal_mean,10,0.0,0.0
llama,humaneval,he_0124,prompt_surprisal_mean,10,0.0,0.0
llama,humaneval,he_0125,prompt_surprisal_mean,10,0.0,0.0
llama,humaneval,he_0126,prompt_surprisal_mean,10,0.0,0.0
llama,humaneval,he_0127,prompt_surprisal_mean,10,0.0,0.0
llama,humaneval,he_0128,prompt_surprisal_mean,10,4.681111291435602e-16,0.0
llama,humaneval,he_0129,prompt_surprisal_mean,10,2.340555645717801e-16,0.0
llama,humaneval,he_0130,prompt_surprisal_mean,10,4.681111291435602e-16,0.0
llama,humaneval,he_0131,prompt_surprisal_mean,10,4.681111291435602e-16,0.0
llama,humaneval,he_0132,prompt_surprisal_mean,10,0.0,0.0
llama,humaneval,he_0133,prompt_surprisal_mean,10,4.681111291435602e-16,0.0
llama,humaneval,he_0134,prompt_surprisal_mean,10,0.0,0.0
llama,humaneval,he_0135,prompt_surprisal_mean,10,0.0,0.0
llama,humaneval,he_0136,prompt_surprisal_mean,10,0.0,0.0
